symbol,updated,updated_time
ADANIENT#,True,2019-10-11 14:45
AJANTPHARM#,True,2019-10-11 14:45
AMARAJABAT#,True,2019-10-11 14:45
ADANIPOWER#,True,2019-10-11 14:45
AMBUJACEM#,True,2019-10-11 14:45
ABB#,True,2019-10-11 14:45
ACC#,True,2019-10-11 14:45
ALKEM#,True,2019-10-11 14:45
ADANIPORTS#,True,2019-10-11 14:45
AXISBANK#,True,2019-10-11 14:45
BAJAJFINSV#,True,2019-10-11 14:45
APOLLOTYRE#,True,2019-10-11 14:45
APLLTD#,True,2019-10-11 14:45
BAJAJAUTO#,True,2019-10-11 14:45
ASIANPAINT#,True,2019-10-11 14:45
APOLLOHOSP#,True,2019-10-11 14:45
ASHOKLEY#,True,2019-10-11 14:45
AUROPHARMA#,True,2019-10-11 14:45
BAJFINANCE#,True,2019-10-11 14:45
BATAINDIA#,True,2019-10-11 14:45
BANCOINDIA#,True,2019-10-11 14:45
BEL#,True,2019-10-11 14:45
BBTC#,True,2019-10-10 14:20
BALKRISIND#,True,2019-10-11 14:45
BANKINDIA#,True,2019-10-11 14:45
BEML#,True,2019-10-11 14:45
BANKBARODA#,True,2019-10-11 14:45
BHARATFORG#,True,2019-10-11 14:45
BOMDYEING#,True,2019-10-11 14:45
BOROSIL#,True,2019-10-11 14:45
BIOCON#,True,2019-10-11 14:45
BERGEPAINT#,True,2019-10-11 14:45
BHEL#,True,2019-10-11 14:45
BPCL#,True,2019-10-11 14:45
BOSCH#,True,2019-10-11 14:45
BHARTIARTL#,True,2019-10-11 14:45
BRITANNIA#,True,2019-10-11 14:45
CADILAHC#,True,2019-10-11 14:45
CASTROLIND#,True,2019-10-11 14:45
CANBK#,True,2019-10-11 14:45
CEATLTD#,True,2019-10-11 14:45
CHOLAFIN#,True,2019-10-11 14:45
CDSL#,True,2019-10-11 14:45
CIPLA#,True,2019-10-11 14:45
CESC#,True,2019-10-11 14:45
CENTURYTEX#,True,2019-10-11 14:45
COALINDIA#,True,2019-10-11 14:45
COROMANDEL#,True,2019-10-11 14:45
COLPAL#,True,2019-10-11 14:45
CONCOR#,True,2019-10-11 14:45
CROMPTON#,True,2019-10-11 14:45
DABUR#,True,2019-10-11 14:45
DHFL#,True,2019-10-11 08:50
CUMMINSIND#,True,2019-10-11 14:45
DCBBANK#,True,2019-10-11 14:45
DISHTV#,True,2019-10-11 14:45
DIVISLAB#,True,2019-10-11 14:45
DLF#,True,2019-10-11 14:45
DRREDDY#,True,2019-10-11 14:45
DMART#,True,2019-10-11 14:45
EQUITAS#,True,2019-10-11 14:45
DREDGECORP#,True,2019-10-11 14:45
ENGINERSIN#,True,2019-10-11 14:45
ESCORTS#,True,2019-10-11 14:45
EICHERMOT#,True,2019-10-11 14:45
EXIDEIND#,True,2019-10-11 14:45
FCONSUMER#,True,2019-10-11 14:45
FEDERALBNK#,True,2019-10-11 14:45
GAIL#,True,2019-10-11 14:45
GLAXO#,True,2019-10-11 14:45
GLENMARK#,True,2019-10-11 14:45
GICHSGFIN#,True,2019-10-11 14:45
GMRINFRA#,True,2019-10-11 14:45
GODREJCP#,True,2019-10-11 14:45
GESHIP#,True,2019-10-11 14:45
GODREJIND#,True,2019-10-11 14:45
GRANULES#,True,2019-10-11 14:45
GSKCONS#,True,2019-10-11 14:45
GRASIM#,True,2019-10-11 14:45
GSPL#,True,2019-10-11 14:45
GREAVESCOT#,True,2019-10-11 14:45
HDFC#,True,2019-10-11 14:45
HDFCAMC#,True,2019-10-09 14:20
GRAPHITE#,True,2019-10-11 14:45
HCLTECH#,True,2019-10-11 14:45
HAVELLS#,True,2019-10-11 14:45
HEROMOTOCO#,True,2019-10-11 14:45
HEXAWARE#,True,2019-10-11 14:45
HEG#,True,2019-10-11 14:45
HINDALCO#,True,2019-10-11 14:45
HDFCLIFE#,True,2019-10-11 14:45
HINDZINC#,True,2019-10-11 14:45
HINDUNILVR#,True,2019-10-11 14:45
HINDPETRO#,True,2019-10-11 14:45
HDFCBANK#,True,2019-10-11 14:45
IBULHSGFIN#,True,2019-10-11 14:45
IDBI#,True,2019-10-11 14:45
ICICIBANK#,True,2019-10-11 14:45
IDEA#,True,2019-10-11 14:45
IGL#,True,2019-10-11 14:45
ICICIPRULI#,True,2019-10-11 14:45
ICICIGI#,True,2019-10-10 14:30
HUDCO#,True,2019-10-11 14:45
IBVENTURES#,True,2019-10-11 14:45
INDIANB#,True,2019-10-11 14:45
IPCALAB#,True,2019-10-11 14:45
INFY#,True,2019-10-11 14:45
INFRATEL#,True,2019-10-11 14:45
INDUSINDBK#,True,2019-10-11 14:45
INDIGO#,True,2019-10-11 14:45
INDHOTEL#,True,2019-10-11 14:45
IOC#,True,2019-10-11 14:45
ITC#,True,2019-10-11 14:45
JSWSTEEL#,True,2019-10-11 14:45
JINDALSTEL#,True,2019-10-11 14:45
JUBILANT#,True,2019-10-11 14:45
KOTAKBANK#,True,2019-10-11 14:45
JSWENERGY#,True,2019-10-11 14:45
JUSTDIAL#,True,2019-10-11 14:45
KSCL#,True,2019-10-11 14:45
LIBERTSHOE#,True,2019-10-11 14:45
JUBLFOOD#,True,2019-10-11 14:45
LT#,True,2019-10-11 14:45
MARUTI#,True,2019-10-11 14:45
LICHSGFIN#,True,2019-10-11 14:45
MAGADSUGAR#,True,2019-10-11 14:45
MCDOWELL-N#,True,2019-10-11 14:45
LUPIN#,True,2019-10-11 14:45
MARICO#,True,2019-10-11 14:45
L_TFH#,True,2019-10-11 14:45
MANAPPURAM#,True,2019-10-11 14:45
MCX#,True,2019-10-11 14:45
MFSL#,True,2019-10-11 14:45
MINDTREE#,True,2019-10-11 14:45
MMFIN#,True,2019-10-11 14:45
MOTHERSUMI#,True,2019-10-11 14:45
MGL#,True,2019-10-07 15:50
MINDAIND#,True,2019-10-11 14:45
MM#,True,2019-10-11 14:45
MRPL#,True,2019-10-11 14:45
MPHASIS#,True,2019-10-11 14:45
